doc_id,doc_type,doc_date,doc_name,plan_desc,physical_index,date_edited,has_water,has_sewer,has_drainage,has_easement,has_street,has_utilities,has_addressing,is_as_built,needs_rescan,needs_delete,water_size,water_material,sewer_size,sewer_material,server_location
1434,Construction,,,2500 Blk +,L-28,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1435,Construction,2/6/1967,,#NAME?,L-29,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1436,Construction,,,#NAME?,L-30,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1437,Construction,5/31/1965,"8"" VCP Crossing Loop 286 NW from Graham St",,L-31,8/1/2013,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,8,VCP,
1438,Construction,,,#NAME?,L-32,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1439,Construction,11/1/1964,,#NAME?,L-33,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1440,Construction,,,#NAME?,L-34,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1441,Construction,12/3/1964,,#NAME?,L-35,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1442,Construction,12/3/1964,,#NAME?,L-36,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1443,Construction,12/9/1964,,#NAME?,L-37,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1444,Construction,,,1500 Blk + Curb Layout,L-38,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1445,Construction,,,#NAME?,L-39,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1446,Construction,,,#NAME?,L-40,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1447,Construction,,,#NAME?,L-41,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1448,Construction,,,#NAME?,L-43,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
